date,guess,color,answer,words
11-04-2024,3,"g,g,g,g",individuality,"being,character,ego,self"
11-04-2024,4,"p,p,p,p",words with apostrophes removed,"cant,id,shell,were"
11-05-2024,1,"p,b,b,b",,"kingdom,ogre,princess,donkey"
11-05-2024,2,"b,b,b,b",figures in shrek,"donkey,dragon,ogre,princess"
11-05-2024,3,"p,p,g,y",,"mushroom,kingdom,turtle,peach"
11-05-2024,4,"g,g,g,g",things with shells,"clam,egg,nut,turtle"
11-05-2024,5,"y,y,y,y",things that are fuzzy,"caterpillar,fleece,peach,pipe cleaner"
11-05-2024,6,"p,p,p,p",magic ___,"carpet,kingdom,marker,mushroom"
11-06-2024,1,"y,y,y,y",dvr buttons,"pause,play,record,stop"
11-06-2024,2,"g,g,g,g",groundbreaking,"different,new,novel,original"
11-06-2024,3,"b,b,b,b",communicate through writing,"correspond,message,text,write"
11-06-2024,4,"p,p,p,p",things with feet,"biped,furniture,poem,yardstick"
11-07-2024,1,"g,g,g,g",public standing,"character,image,name,reputation"
11-07-2024,2,"y,y,y,y",food-related jumbles,"hash,salad,scrambles,stew"
11-07-2024,3,"p,p,p,p",anagrams of famous painters,"dial,egads,monte,yoga"
11-07-2024,4,"b,b,b,b",info on a museum placard,"artist,medium,title,year"
11-08-2024,1,"y,b,b,y",,"exploit,adult,suggestive,stunt"
11-08-2024,2,"b,g,g,g",,"spicy,sweet,dill,kosher"
11-08-2024,3,"b,y,b,b",,"spicy,exploit,adult,suggestive"
11-08-2024,4,"p,y,g,g",,"mustard,caper,dill,kosher"
11-09-2024,1,"g,g,g,g",smallest amount,"lick,ounce,shred,trace"
11-09-2024,2,"b,b,b,b",algebra terms,"exponent,power,radical,root"
11-09-2024,3,"y,y,y,y",contorted,"bent,gnarly,twisted,warped"
11-09-2024,4,"p,p,p,p","words before ""room"" to mean lavatory","bath,powder,rest,throne"
11-10-2024,1,"y,y,y,y",barrel-shaped container,"cask,cylinder,drum,tank"
11-10-2024,2,"b,b,b,b",n.f.l. team member,"cowboy,jet,ram,raven"
11-10-2024,3,"g,g,g,g",guide,"pilot,shepherd,steer,usher"
11-10-2024,4,"p,p,p,p",things that swing,"golfer,pendulum,saloon doors,swing"
11-11-2024,1,"g,g,g,g",gist,"substance,thrust,meat,core"
11-11-2024,2,"b,p,y,p",,"demi,big,mars,lady"
11-11-2024,3,"y,p,b,p",,"crunch,big,sports,lady"
11-11-2024,4,"y,p,y,y",,"crunch,big,mars,payday"
11-11-2024,5,"y,y,y,p",,"crunch,mars,payday,lady"
11-12-2024,1,"b,p,y,y",,"ram,robe,crab,carp"
11-12-2024,2,"g,g,g,g",vegetable unit,"clove,spear,stalk,floret"
11-12-2024,3,"y,p,b,p",,"crab,sword,speed,blindfold"
11-12-2024,4,"p,y,p,y",,"robe,crab,sword,carp"
11-12-2024,5,"p,y,p,y",,"robe,bellyache,blindfold,grumble"
11-13-2024,1,"g,g,g,g",building add-ons,"wing,addition,extension,annex"
11-13-2024,2,"y,p,b,y",,"mustard,worcestershire,tartar,lemon"
11-13-2024,3,"y,y,y,y",things that are yellow,"mustard,lemon,minion,canary"
11-13-2024,4,"p,p,b,p",,"worcestershire,colonel,plaque,pharaoh"
11-13-2024,5,"p,p,p,p",words that seem longer written than spoken,"wednesday,worcestershire,colonel,pharaoh"
11-13-2024,6,"b,b,b,b",concerns for a dentist,"tartar,calculus,plaque,cavity"
11-14-2024,1,"b,b,b,b",words on a restaurant receipt,"signature,tax,tip,total"
11-14-2024,2,"g,g,g,g",play music with a passion,"groove,jam,rock,shred"
11-14-2024,3,"y,y,y,y",deplete,"drain,empty,exhaust,sap"
11-14-2024,4,"p,p,p,p",forms of sugar,"cube,grain,powder,syrup"
